producto_id,nombre_producto,categoria,precio,stock,fecha_registro
PROD-00001,Casa,Electronica,1611.03,497,2024-04-27
PROD-00002,Hicieron,Tecnologia,3243.05,497,2024-11-23
PROD-00003,Razones,Electronica,4422.92,468,2026-03-22
PROD-00004,Violencia,Tecnologia,3114.99,225,2024-01-12
PROD-00005,Alta,Tecnologia,2748.1,384,2025-03-24
PROD-00006,Salud,Deportes,3760.11,310,2025-09-17
PROD-00007,Importancia,Deportes,1214.87,324,2025-11-21
PROD-00008,Europea,Electronica,571.47,428,2025-08-31
PROD-00009,Cierta,Electronica,2259.28,427,2025-09-06
PROD-00010,Julio,Deportes,3403.36,117,2024-01-30
PROD-00011,Pueda,Deportes,1272.54,485,2023-08-09
PROD-00012,Tierra,Ropa,4029.58,391,2025-10-24
PROD-00013,Visto,Tecnologia,3195.83,380,2023-05-25
PROD-00014,Humana,Ropa,466.53,285,2025-06-01
PROD-00015,Diario,Ropa,1452.26,82,2024-04-21
PROD-00016,Seis,Tecnologia,1558.81,444,2024-02-12
PROD-00017,Propios,Ropa,1830.44,226,2024-06-06
PROD-00018,Hubiera,Electronica,2005.89,309,2026-05-12
PROD-00019,Próximo,Tecnologia,2502.31,69,2025-04-10
PROD-00020,Construcción,Deportes,2541.67,394,2024-05-20
PROD-00021,Civil,Tecnologia,4379.66,213,2024-12-22
PROD-00022,Tierra,Tecnologia,1308.04,225,2024-09-25
PROD-00023,Pp,Tecnologia,4632.64,255,2025-04-18
PROD-00024,Corazón,Tecnologia,2599.58,22,2025-02-03
PROD-00025,Sus,Tecnologia,1138.13,76,2025-11-27
PROD-00026,Calle,Electronica,4814.37,277,2024-06-14
PROD-00027,Haya,Electronica,3592.19,229,2023-08-20
PROD-00028,Humana,Deportes,729.21,462,2025-02-12
PROD-00029,Diez,Hogar,4251.15,72,2025-12-18
PROD-00030,Cultura,Deportes,3378.03,375,2024-11-17
PROD-00031,Carrera,Tecnologia,1270.01,215,2025-12-17
PROD-00032,Presenta,Ropa,2749.78,341,2024-11-01
PROD-00033,Visita,Tecnologia,3497.65,422,2024-12-08
PROD-00034,Señora,Deportes,2176.67,160,2024-08-15
PROD-00035,Martín,Ropa,66.2,86,2026-04-23
PROD-00036,Próximo,Tecnologia,4804.14,421,2024-11-30
PROD-00037,Sus,Tecnologia,4636.25,194,2025-02-01
PROD-00038,Memoria,Hogar,1315.35,258,2023-10-01
PROD-00039,Mi,Deportes,2566.11,433,2026-04-02
PROD-00040,Menor,Deportes,4043.64,295,2026-01-08
PROD-00041,Sino,Electronica,4160.39,172,2025-07-07
PROD-00042,Mediante,Deportes,4585.72,60,2024-10-09
PROD-00043,Central,Deportes,3452.88,411,2026-01-06
PROD-00044,Operación,Tecnologia,1308.98,482,2026-01-07
PROD-00045,Dónde,Hogar,4836.99,441,2025-06-18
PROD-00046,Amigo,Deportes,4701.89,342,2024-10-08
PROD-00047,Propios,Ropa,4518.25,199,2026-03-29
PROD-00048,Estudios,Electronica,989.04,448,2024-02-12
PROD-00049,Demás,Deportes,748.87,479,2025-05-16
PROD-00050,Mal,Electronica,479.0,241,2025-01-02
PROD-00051,Medidas,Tecnologia,2742.02,438,2024-11-13
PROD-00052,Investigación,Electronica,3058.47,111,2025-10-11
PROD-00053,Demás,Hogar,621.68,32,2024-08-29
PROD-00054,Manos,Tecnologia,4782.71,352,2025-11-09
PROD-00055,Del,Ropa,790.71,170,2023-06-18
PROD-00056,Boca,Tecnologia,2879.93,484,2026-01-03
PROD-00057,Líder,Deportes,3454.99,490,2024-09-26
PROD-00058,Menor,Hogar,2738.1,252,2026-02-21
PROD-00059,Solo,Tecnologia,673.46,316,2026-02-15
PROD-00060,Público,Tecnologia,1467.59,223,2025-06-10
PROD-00061,Estaban,Hogar,4676.58,411,2024-11-23
PROD-00062,Hija,Tecnologia,1543.9,220,2024-11-07
PROD-00063,Imagen,Deportes,4043.82,276,2025-01-13
PROD-00064,Precios,Hogar,1892.51,500,2023-06-18
PROD-00065,Director,Electronica,1958.95,47,2024-04-24
PROD-00066,Visita,Electronica,4172.32,340,2025-10-18
PROD-00067,Consejo,Ropa,4674.03,493,2025-06-06
PROD-00068,Película,Electronica,147.4,253,2026-04-01
PROD-00069,Algunas,Ropa,3420.32,240,2024-09-20
PROD-00070,Destino,Ropa,4571.51,264,2023-11-29
PROD-00071,Cultura,Deportes,2866.66,422,2025-11-21
PROD-00072,Investigación,Hogar,786.38,276,2026-03-08
PROD-00073,Partes,Hogar,2179.37,182,2024-02-29
PROD-00074,Diez,Deportes,2999.13,357,2024-06-21
PROD-00075,Nuestro,Electronica,2745.82,27,2025-08-09
PROD-00076,Libertad,Hogar,3243.21,98,2023-10-20
PROD-00077,Visita,Electronica,3248.19,486,2023-05-28
PROD-00078,De,Electronica,2270.07,396,2024-09-18
PROD-00079,Derechos,Hogar,2429.53,357,2026-02-27
PROD-00080,Gobierno,Electronica,663.12,281,2025-03-11
PROD-00081,Cualquier,Hogar,3931.34,274,2024-02-08
PROD-00082,Ayuda,Hogar,818.75,442,2023-06-30
PROD-00083,Derechos,Hogar,1962.06,227,2026-03-26
PROD-00084,Políticas,Tecnologia,2082.15,50,2025-08-20
PROD-00085,Condiciones,Deportes,1538.45,186,2023-10-29
PROD-00086,Semana,Hogar,1331.95,264,2025-05-10
PROD-00087,Izquierda,Deportes,1452.6,100,2025-09-02
