venta_id,cliente_id,producto_id,categoria,cantidad,precio_unitario,subtotal,descuento,total,metodo_pago,fecha_venta
VEN-0000001,CLI-009131,PROD-00003,Electronica,3,4422.92,13268.76,1925.09,11343.67,plin,2026-05-13 15:51:21.418277
VEN-0000002,CLI-002246,PROD-00313,Hogar,3,2580.16,7740.48,137.58,7602.9,tarjeta,2026-05-13 15:52:23.628100
VEN-0000003,CLI-006845,PROD-00123,Ropa,2,1461.99,2923.98,129.91,2794.07,plin,2026-05-13 15:46:57.004966
VEN-0000004,CLI-000804,PROD-00315,Hogar,4,2986.53,11946.12,1255.75,10690.37,efectivo,2026-05-13 15:47:54.835693
VEN-0000005,CLI-001424,PROD-00164,Hogar,3,4826.5,14479.5,198.99,14280.51,yape,2026-05-13 15:50:16.896022
VEN-0000006,CLI-003586,PROD-00077,Electronica,2,3248.19,6496.38,830.68,5665.7,tarjeta,2026-05-13 15:47:20.881449
VEN-0000007,CLI-004616,PROD-00221,Tecnologia,3,3849.32,11547.96,1214.22,10333.74,plin,2026-05-13 15:52:34.620113
VEN-0000008,CLI-004899,PROD-00134,Hogar,1,3879.04,3879.04,321.33,3557.71,yape,2026-05-13 15:47:12.511278
VEN-0000009,CLI-009277,PROD-00030,Deportes,1,3378.03,3378.03,58.94,3319.09,tarjeta,2026-05-13 15:49:44.076799
VEN-0000010,CLI-000433,PROD-00451,Ropa,2,2646.15,5292.3,159.63,5132.67,plin,2026-05-13 15:49:50.115969
VEN-0000011,CLI-001111,PROD-00399,Deportes,5,4933.94,24669.7,3694.18,20975.52,plin,2026-05-13 15:47:11.739922
VEN-0000012,CLI-006413,PROD-00456,Ropa,3,569.41,1708.23,32.57,1675.66,efectivo,2026-05-13 15:50:38.016051
VEN-0000013,CLI-002647,PROD-00269,Hogar,1,4502.65,4502.65,566.76,3935.89,efectivo,2026-05-13 15:48:39.708282
VEN-0000014,CLI-004704,PROD-00400,Deportes,1,3410.97,3410.97,67.89,3343.08,plin,2026-05-13 15:50:53.201127
VEN-0000015,CLI-002869,PROD-00336,Deportes,4,4207.66,16830.64,2367.99,14462.65,plin,2026-05-13 15:46:54.644630
VEN-0000016,CLI-005757,PROD-00032,Ropa,1,2749.78,2749.78,15.2,2734.58,yape,2026-05-13 15:49:17.717816
VEN-0000017,CLI-001479,PROD-00005,Tecnologia,1,2748.1,2748.1,365.67,2382.43,plin,2026-05-13 15:47:34.568020
VEN-0000018,CLI-005994,PROD-00088,Ropa,4,2606.29,10425.16,476.87,9948.29,plin,2026-05-13 15:51:28.586634
VEN-0000019,CLI-009090,PROD-00299,Tecnologia,5,4733.1,23665.5,2054.35,21611.15,yape,2026-05-13 15:50:58.392140
VEN-0000020,CLI-001781,PROD-00338,Hogar,4,3259.15,13036.6,369.86,12666.74,efectivo,2026-05-13 15:48:44.985472
VEN-0000021,CLI-001491,PROD-00195,Deportes,3,4161.47,12484.41,338.01,12146.4,plin,2026-05-13 15:48:33.866941
VEN-0000022,CLI-005493,PROD-00070,Ropa,5,4571.51,22857.55,674.74,22182.81,plin,2026-05-13 15:47:00.994871
VEN-0000023,CLI-001019,PROD-00007,Deportes,1,1214.87,1214.87,30.76,1184.11,yape,2026-05-13 15:49:32.108067
VEN-0000024,CLI-009746,PROD-00438,Tecnologia,4,1255.41,5021.64,512.26,4509.38,efectivo,2026-05-13 15:50:05.769652
VEN-0000025,CLI-001908,PROD-00020,Deportes,5,2541.67,12708.35,1794.11,10914.24,plin,2026-05-13 15:51:23.615949
VEN-0000026,CLI-008251,PROD-00001,Electronica,4,1611.03,6444.12,359.99,6084.13,tarjeta,2026-05-13 15:47:35.931898
VEN-0000027,CLI-007009,PROD-00063,Deportes,2,4043.82,8087.64,58.84,8028.8,tarjeta,2026-05-13 15:52:37.835863
VEN-0000028,CLI-009045,PROD-00392,Hogar,5,3089.77,15448.85,2219.27,13229.58,efectivo,2026-05-13 15:50:21.610077
VEN-0000029,CLI-000521,PROD-00327,Hogar,5,2297.29,11486.45,1191.39,10295.06,tarjeta,2026-05-13 15:50:34.408556
VEN-0000030,CLI-000134,PROD-00071,Deportes,5,2866.66,14333.3,140.45,14192.85,plin,2026-05-13 15:47:22.645153
VEN-0000031,CLI-003988,PROD-00387,Hogar,5,4944.85,24724.25,996.44,23727.81,efectivo,2026-05-13 15:47:34.134558
VEN-0000032,CLI-000729,PROD-00097,Electronica,1,3111.51,3111.51,273.84,2837.67,tarjeta,2026-05-13 15:48:27.779408
VEN-0000033,CLI-001696,PROD-00312,Deportes,5,3458.47,17292.35,1392.35,15900.0,tarjeta,2026-05-13 15:51:40.571395
VEN-0000034,CLI-003520,PROD-00448,Hogar,2,3713.36,7426.72,953.53,6473.19,efectivo,2026-05-13 15:51:56.703226
VEN-0000035,CLI-007858,PROD-00310,Ropa,1,3591.84,3591.84,308.2,3283.64,plin,2026-05-13 15:46:56.273063
VEN-0000036,CLI-000035,PROD-00050,Electronica,1,479.0,479.0,26.0,453.0,plin,2026-05-13 15:47:53.054974
VEN-0000037,CLI-007788,PROD-00290,Deportes,5,4435.95,22179.75,1419.97,20759.78,tarjeta,2026-05-13 15:49:59.828643
VEN-0000038,CLI-007555,PROD-00151,Ropa,2,2307.15,4614.3,74.97,4539.33,plin,2026-05-13 15:51:06.971269
VEN-0000039,CLI-009168,PROD-00448,Hogar,5,3713.36,18566.8,2454.51,16112.29,tarjeta,2026-05-13 15:48:32.810261
VEN-0000040,CLI-006902,PROD-00335,Tecnologia,5,3341.73,16708.65,160.06,16548.59,efectivo,2026-05-13 15:49:43.295809
VEN-0000041,CLI-000216,PROD-00078,Electronica,3,2270.07,6810.21,837.98,5972.23,efectivo,2026-05-13 15:47:16.998736
VEN-0000042,CLI-006162,PROD-00292,Electronica,3,3970.79,11912.37,1671.01,10241.36,yape,2026-05-13 15:47:58.465650
VEN-0000043,CLI-007918,PROD-00011,Deportes,2,1272.54,2545.08,330.17,2214.91,yape,2026-05-13 15:52:24.419218
VEN-0000044,CLI-009134,PROD-00318,Tecnologia,5,101.42,507.1,0.97,506.13,plin,2026-05-13 15:49:20.365188
VEN-0000045,CLI-004516,PROD-00464,Tecnologia,2,1635.7,3271.4,470.33,2801.07,efectivo,2026-05-13 15:50:55.086432
VEN-0000046,CLI-005589,PROD-00039,Deportes,5,2566.11,12830.55,894.95,11935.6,plin,2026-05-13 15:52:38.902962
