nombre_producto,categoria_producto,cantidad_vendida,ingresos
Precio,Tecnologia,687,2578433.32
Cultura,Deportes,680,1984035.23
Aunque,Tecnologia,616,1286821.07
Solo,Tecnologia,613,966894.0
Médico,Electronica,609,2140698.14
Sus,Tecnologia,608,1636686.88
Habrá,Electronica,604,1854011.43
Gente,Hogar,603,1547429.2
Atrás,Deportes,598,1419744.77
Pueden,Ropa,596,1279578.93
Salida,Electronica,596,1951209.82
Políticos,Deportes,592,976309.33
Central,Deportes,590,1456428.51
Noviembre,Electronica,589,2259389.49
Metros,Deportes,580,1470447.24
Derechos,Hogar,575,1164327.32
Unión,Ropa,574,1587511.48
Seguro,Tecnologia,570,1826579.54
Próximo,Tecnologia,569,1975545.28
Propios,Ropa,564,1681009.83
