metodo_pago,total
11343.67,1
2794.07,1
10690.37,1
14280.51,1
3319.09,1
14462.65,1
2734.58,1
21611.15,1
1184.11,1
8028.8,1
10295.06,1
14192.85,1
23727.81,1
2837.67,1
453.0,1
20759.78,1
4539.33,1
10241.36,1
2214.91,1
11935.6,1
4012.3,1
801.58,1
20337.1,1
6228.27,1
14836.27,1
18786.85,1
409.88,1
955.75,1
9777.22,1
5036.49,1
28.07,2
396.81,1
23420.12,1
8723.22,1
12623.59,1
10589.92,1
5014.97,1
152.05,1
2159.0,1
933.96,1
7998.04,1
8317.47,1
1316.62,1
1196.42,1
6867.54,1
22549.05,1
3996.95,1
14048.16,1
7819.38,2
3009.11,1
2266.29,1
979.1,1
5602.94,1
2920.44,1
3820.23,1
4564.5,1
1945.49,1
4322.67,1
5099.81,1
3354.83,1
2211.45,1
11144.28,1
3268.38,1
695.28,1
2176.22,1
9924.39,1
12352.95,1
17326.83,1
22497.5,1
20936.9,1
2888.92,1
3962.46,1
966.82,1
13659.0,1
447.4,1
7482.54,1
12618.59,1
1798.35,1
18997.31,1
14000.45,1
10332.46,1
3632.93,1
2631.2,1
6055.69,1
8767.84,1
319.19,1
1414.65,2
3706.29,1
10896.19,1
7279.13,1
4100.87,1
5063.51,1
17815.96,1
4957.59,1
5195.4,1
5307.96,1
3619.8,1
3688.17,1
1306.03,1
990.79,1
3503.96,1
14560.85,1
8395.08,1
2982.97,1
5768.83,1
6401.8,1
8036.45,1
7546.21,1
12744.53,1
18010.28,1
4170.04,1
9913.84,1
8184.95,1
179.05,1
5829.24,1
613.29,1
4125.01,1
215.24,1
16824.41,1
4407.41,1
819.08,1
2271.26,2
4823.86,1
8060.0,1
3488.74,1
5555.3,1
13967.77,1
3636.52,1
7109.65,1
627.09,1
14423.05,1
5695.97,1
9830.34,2
927.66,1
3383.84,1
1481.38,1
11556.97,1
2449.51,1
2302.37,1
4016.49,1
3584.51,1
2057.65,1
1861.04,1
2911.36,1
1382.16,1
123.01,1
4048.12,1
683.89,1
4070.46,1
8311.77,1
20881.45,1
6372.25,1
5549.9,1
14325.07,1
7825.38,1
5550.01,1
15130.67,1
3155.48,2
9569.25,1
11665.43,1
8448.32,1
5549.0,1
5642.96,1
3049.26,1
3030.63,1
4907.59,1
9407.33,1
18312.14,1
14283.2,1
6232.27,1
3303.7,2
2186.07,1
22213.3,1
5367.2,1
3241.41,1
3517.6,1
2054.73,1
19245.55,1
2607.91,1
4497.75,1
16359.03,1
11625.85,1
11618.63,1
583.32,1
7575.07,1
547.51,1
3192.94,2
4860.67,1
804.81,1
11153.01,1
9763.93,1
5229.24,1
2166.86,1
6650.38,2
8288.89,1
4641.94,1
11897.54,1
2011.75,1
8160.51,1
615.22,1
7984.59,1
1569.63,1
5081.13,1
9771.86,1
2304.67,1
4097.75,1
8053.81,1
11553.34,1
21521.02,1
7008.38,1
8017.2,1
1204.33,1
6627.93,1
6133.8,1
3841.17,1
3965.95,1
7297.81,1
733.05,1
331.87,1
15765.62,1
3236.96,1
16614.97,1
7185.1,1
10623.02,1
5056.86,1
6809.93,1
7946.79,1
945.1,1
7018.38,1
10182.36,1
7969.5,1
16550.95,1
547.66,1
1846.83,1
3950.37,1
378.41,1
276.92,1
7733.46,1
28.38,1
1382.89,1
12196.34,1
6935.13,1
81.6,1
15510.01,1
1463.48,1
3281.42,1
1258.49,1
4348.55,1
3425.01,1
2037.37,1
4799.16,1
16928.95,1
20790.68,1
14087.88,1
419.51,1
4095.53,1
3475.35,1
1305.42,1
4068.04,1
4124.76,1
4188.43,1
2066.84,2
383.71,1
8096.62,1
7504.84,1
4214.5,1
20276.14,1
5204.35,1
6987.57,1
6944.57,1
711.53,1
8569.34,1
3597.17,1
10485.94,1
23468.12,1
2905.69,1
3344.48,1
12721.43,1
8714.34,1
8974.09,1
2058.76,2
7408.74,1
227.11,1
3510.76,1
5867.28,1
827.56,1
6533.7,1
4226.88,1
11206.96,1
6271.12,2
5218.93,1
8464.54,1
3384.22,1
11228.48,2
136.37,1
14213.55,1
1724.36,1
11872.55,1
1646.07,1
1568.43,1
4626.76,1
299.02,1
7864.35,1
3638.75,1
16150.66,1
7583.33,1
8237.31,1
15152.13,1
13575.84,1
650.47,1
3491.9,1
14659.98,1
14977.74,1
16707.44,1
9013.99,1
4188.62,1
5374.8,1
2875.53,1
313.45,1
4594.8,1
2754.45,1
9521.32,1
4371.61,1
11610.27,1
3062.37,1
8002.37,1
3163.01,1
3618.01,1
3951.52,1
812.15,1
4220.69,1
4432.46,1
82.85,1
1627.22,1
1191.87,1
3712.33,1
6774.61,1
17238.74,1
8479.23,1
579.91,2
16559.51,1
631.08,1
1128.28,1
7916.88,1
3821.14,1
17610.55,1
3121.78,1
2043.2,1
13366.0,1
1440.4,1
6935.79,1
4893.13,1
3428.38,1
6329.18,2
2042.65,1
2067.25,1
9011.67,1
599.56,1
15911.45,1
930.3,1
3503.58,1
5771.65,1
17760.8,1
1384.79,1
12920.26,1
4963.2,1
17228.69,1
10198.46,1
3201.49,1
17995.58,1
278.4,1
4733.38,1
17902.57,1
5904.22,1
17080.76,1
2952.89,1
12067.12,1
1613.28,1
4517.48,1
1685.56,1
307.82,1
3225.91,2
608.37,1
4095.68,1
8725.47,1
2504.64,2
2729.83,1
11385.12,1
769.87,1
769.28,1
6974.85,1
4724.78,1
4946.18,1
6268.12,1
750.61,1
15140.53,1
20739.15,1
5691.87,1
22211.19,1
10604.87,1
10013.72,1
1987.9,1
9308.22,1
18073.38,1
14419.56,1
1384.96,1
7013.18,1
1845.81,1
10784.84,1
4301.03,1
9959.03,1
4585.35,1
3134.55,1
3227.58,1
3523.4,1
4878.12,1
6804.47,1
14080.33,1
3744.58,1
20495.62,1
6497.65,1
4918.92,1
3320.77,2
3215.5,1
2452.4,1
8818.23,1
4157.51,1
14543.63,1
2077.6,1
547.76,1
6319.04,1
5132.98,1
4190.12,1
12851.97,1
180.52,1
2793.35,1
10073.43,1
12562.03,1
1926.33,1
4908.77,1
14098.79,1
10243.86,1
3793.98,1
1656.9,1
8615.3,1
19342.8,1
1776.2,1
5754.57,1
8479.55,1
2658.4,2
10662.39,1
1168.26,1
915.35,1
8089.18,1
9329.69,1
22313.65,1
3434.12,1
2816.92,1
1764.9,1
3341.76,1
13801.94,1
5143.85,1
9734.75,1
4060.32,1
12506.33,1
12929.98,1
8583.51,1
7308.93,1
147.24,1
6123.69,1
2829.66,1
15931.2,1
2662.91,1
3265.59,2
14065.49,1
1228.43,1
116.59,1
4906.77,1
3115.84,1
879.59,1
12841.5,1
585.73,1
8122.06,1
5558.18,2
6880.73,1
16060.2,1
2734.27,1
17179.35,1
2832.3,1
1909.08,1
7319.6,1
2208.27,1
343.01,1
644.63,1
4434.71,1
1007.22,1
8043.52,1
17177.22,1
11932.95,1
8688.8,1
12034.53,1
17607.77,1
1457.79,1
4428.74,1
7261.53,1
2997.06,1
5992.78,1
7898.05,1
9667.44,1
8436.94,1
94.6,1
2482.03,1
832.46,1
4301.07,2
2591.32,1
6437.65,1
5039.08,1
283.09,1
8990.77,1
1630.38,1
6237.65,1
7002.73,1
16726.76,1
2200.33,1
17315.4,1
1775.16,1
4697.38,1
1941.4,1
6763.6,1
4083.79,1
3132.98,1
7446.19,1
3270.21,1
12810.83,1
8216.32,1
4439.77,1
8281.95,1
173.81,1
1368.31,1
1754.88,1
18598.47,1
6897.36,1
3960.61,1
4328.45,1
2409.72,1
1220.26,1
87.95,1
12063.42,1
4219.31,1
6455.6,1
1921.82,1
1905.44,1
17520.6,1
3838.98,1
2011.43,1
11974.95,1
2262.66,1
2693.4,1
4413.05,1
9237.61,1
14812.48,1
5625.0,1
7806.26,1
5732.12,1
7458.41,1
2515.17,1
4130.55,1
5086.5,1
6116.78,1
6066.4,1
6286.62,1
3857.53,1
2197.2,1
2926.3,1
1495.67,1
8073.15,1
4189.21,1
5336.38,1
7249.6,1
337.8,1
20087.31,1
6023.45,1
2886.72,1
2148.25,1
11590.81,1
3588.56,1
2806.67,1
15423.34,1
9699.68,1
21654.84,1
2686.07,1
4129.54,1
1985.91,1
6913.97,1
464.35,1
16440.47,1
22127.27,2
