evento_id,venta_id,categoria,metodo_pago,ciudad,total,riesgo_fraude
EVT-000007,VEN-0026577,Deportes,yape,Cusco,15958.74,0.95
EVT-000038,VEN-0036020,Electronica,efectivo,Arequipa,9929.01,0.95
EVT-000150,VEN-0013513,Deportes,efectivo,Piura,8774.48,0.95
EVT-000165,VEN-0017569,Deportes,tarjeta,Piura,9680.55,0.95
EVT-000175,VEN-0018264,Hogar,tarjeta,Piura,10919.44,0.95
EVT-000190,VEN-0012886,Ropa,plin,Trujillo,13078.44,0.95
EVT-000276,VEN-0034411,Hogar,efectivo,Arequipa,6232.13,0.95
EVT-000453,VEN-0010994,Ropa,tarjeta,Lima,5292.72,0.95
EVT-000516,VEN-0043861,Hogar,tarjeta,Piura,3748.08,0.95
EVT-000110,VEN-0012791,Electronica,efectivo,Arequipa,18109.33,0.94
EVT-000200,VEN-0020759,Deportes,tarjeta,Cusco,8797.84,0.94
EVT-000370,VEN-0043358,Hogar,efectivo,Lima,8239.9,0.94
EVT-000385,VEN-0006986,Ropa,plin,Arequipa,13505.4,0.94
EVT-000437,VEN-0039579,Ropa,yape,Cusco,3223.63,0.94
EVT-000510,VEN-0012617,Hogar,tarjeta,Arequipa,9651.83,0.94
EVT-000517,VEN-0012257,Ropa,plin,Cusco,9896.59,0.94
EVT-000022,VEN-0048735,Tecnologia,yape,Trujillo,12122.66,0.93
EVT-000032,VEN-0038938,Hogar,yape,Lima,12430.04,0.93
EVT-000075,VEN-0006294,Deportes,tarjeta,Trujillo,13194.87,0.93
EVT-000176,VEN-0017435,Deportes,yape,Lima,3960.95,0.93
EVT-000235,VEN-0028274,Hogar,yape,Piura,20027.35,0.93
EVT-000332,VEN-0024274,Ropa,tarjeta,Lima,6648.69,0.93
EVT-000396,VEN-0017898,Tecnologia,yape,Cusco,13810.41,0.93
EVT-000486,VEN-0014172,Tecnologia,yape,Cusco,11211.07,0.93
EVT-000060,VEN-0005392,Hogar,tarjeta,Lima,9488.88,0.92
EVT-000129,VEN-0024855,Tecnologia,yape,Lima,4110.67,0.92
EVT-000214,VEN-0005649,Ropa,plin,Lima,17123.04,0.92
EVT-000317,VEN-0037722,Electronica,efectivo,Lima,17228.48,0.92
EVT-000322,VEN-0002405,Electronica,tarjeta,Piura,9263.57,0.92
EVT-000330,VEN-0009123,Electronica,efectivo,Trujillo,9044.37,0.92
EVT-000344,VEN-0003141,Deportes,plin,Piura,11231.18,0.92
EVT-000356,VEN-0042015,Electronica,plin,Trujillo,6646.02,0.92
EVT-000371,VEN-0021367,Deportes,plin,Lima,19126.99,0.92
EVT-000425,VEN-0028830,Hogar,plin,Arequipa,17157.3,0.92
EVT-000435,VEN-0032995,Hogar,plin,Cusco,4863.8,0.92
EVT-000005,VEN-0007563,Tecnologia,tarjeta,Lima,7450.08,0.91
EVT-000019,VEN-0016179,Deportes,tarjeta,Trujillo,20902.75,0.91
EVT-000039,VEN-0011362,Deportes,tarjeta,Trujillo,10883.71,0.91
EVT-000074,VEN-0027723,Hogar,tarjeta,Lima,17515.98,0.91
EVT-000084,VEN-0005135,Electronica,tarjeta,Lima,12562.85,0.91
EVT-000192,VEN-0040548,Deportes,yape,Lima,3180.38,0.91
EVT-000275,VEN-0046060,Hogar,yape,Cusco,3205.98,0.91
EVT-000313,VEN-0019053,Hogar,plin,Arequipa,9517.1,0.91
EVT-000369,VEN-0037557,Electronica,efectivo,Piura,6741.81,0.91
EVT-000457,VEN-0045192,Hogar,tarjeta,Lima,9790.46,0.91
EVT-000554,VEN-0031959,Deportes,yape,Piura,5583.48,0.91
EVT-000586,VEN-0036556,Ropa,efectivo,Piura,13626.18,0.91
EVT-000593,VEN-0033618,Deportes,tarjeta,Cusco,12376.08,0.91
EVT-000042,VEN-0027780,Electronica,tarjeta,Piura,12463.04,0.9
EVT-000142,VEN-0019229,Hogar,yape,Cusco,4263.1,0.9
EVT-000149,VEN-0007393,Deportes,efectivo,Piura,7522.1,0.9
EVT-000229,VEN-0045127,Hogar,tarjeta,Trujillo,8897.34,0.9
EVT-000249,VEN-0027596,Electronica,yape,Trujillo,5864.95,0.9
EVT-000265,VEN-0011878,Tecnologia,yape,Cusco,18770.44,0.9
EVT-000303,VEN-0046768,Deportes,yape,Trujillo,3007.33,0.9
EVT-000329,VEN-0016291,Deportes,yape,Cusco,14644.98,0.9
EVT-000352,VEN-0038371,Ropa,plin,Arequipa,4066.94,0.9
EVT-000359,VEN-0020225,Hogar,tarjeta,Arequipa,8250.45,0.9
EVT-000372,VEN-0001668,Tecnologia,efectivo,Piura,8653.99,0.9
EVT-000452,VEN-0024380,Hogar,plin,Cusco,10485.35,0.9
EVT-000460,VEN-0000428,Ropa,efectivo,Piura,21521.02,0.9
EVT-000583,VEN-0019760,Electronica,yape,Piura,4414.1,0.9
EVT-000033,VEN-0022557,Tecnologia,plin,Cusco,3266.28,0.89
EVT-000244,VEN-0026443,Electronica,yape,Lima,7700.13,0.89
EVT-000284,VEN-0008914,Hogar,tarjeta,Cusco,4260.19,0.89
EVT-000477,VEN-0000922,Deportes,efectivo,Lima,11321.57,0.89
EVT-000526,VEN-0026982,Tecnologia,tarjeta,Cusco,6133.03,0.89
EVT-000016,VEN-0028236,Deportes,yape,Cusco,12161.42,0.88
EVT-000028,VEN-0031205,Tecnologia,plin,Cusco,5515.21,0.88
EVT-000088,VEN-0004294,Deportes,tarjeta,Trujillo,4373.18,0.88
EVT-000098,VEN-0040906,Hogar,yape,Arequipa,12819.97,0.88
EVT-000105,VEN-0040431,Deportes,tarjeta,Trujillo,4947.28,0.88
EVT-000113,VEN-0010812,Ropa,yape,Piura,9573.62,0.88
EVT-000148,VEN-0018422,Deportes,yape,Arequipa,3796.89,0.88
EVT-000213,VEN-0034571,Ropa,efectivo,Cusco,3369.02,0.88
EVT-000218,VEN-0030111,Deportes,efectivo,Arequipa,3276.08,0.88
EVT-000278,VEN-0024769,Electronica,plin,Piura,4153.63,0.88
EVT-000297,VEN-0030131,Ropa,plin,Cusco,8079.31,0.88
EVT-000367,VEN-0042434,Ropa,efectivo,Piura,10580.0,0.88
EVT-000409,VEN-0028835,Ropa,plin,Trujillo,9644.83,0.88
EVT-000448,VEN-0014273,Ropa,tarjeta,Cusco,13420.24,0.88
EVT-000529,VEN-0040994,Electronica,plin,Piura,23030.23,0.88
EVT-000571,VEN-0048260,Hogar,efectivo,Cusco,6752.11,0.88
EVT-000588,VEN-0024738,Ropa,plin,Arequipa,3743.97,0.88
EVT-000600,VEN-0046690,Electronica,plin,Arequipa,22609.83,0.88
EVT-000095,VEN-0015646,Electronica,efectivo,Trujillo,7321.09,0.87
EVT-000247,VEN-0037741,Deportes,tarjeta,Lima,21616.13,0.87
EVT-000309,VEN-0044183,Tecnologia,efectivo,Arequipa,5489.46,0.87
EVT-000325,VEN-0026862,Deportes,yape,Lima,12573.96,0.87
EVT-000374,VEN-0014751,Hogar,tarjeta,Lima,11081.0,0.87
EVT-000480,VEN-0017808,Ropa,tarjeta,Cusco,4016.56,0.87
EVT-000581,VEN-0004025,Tecnologia,yape,Piura,3053.07,0.87
EVT-000014,VEN-0012743,Tecnologia,tarjeta,Arequipa,3838.6,0.86
EVT-000021,VEN-0020258,Hogar,tarjeta,Trujillo,14637.58,0.86
EVT-000029,VEN-0001932,Deportes,tarjeta,Cusco,13485.27,0.86
EVT-000073,VEN-0007047,Deportes,plin,Lima,9606.68,0.86
EVT-000079,VEN-0009090,Tecnologia,efectivo,Lima,3797.4,0.86
EVT-000125,VEN-0031976,Deportes,tarjeta,Piura,3621.7,0.86
EVT-000159,VEN-0001876,Hogar,tarjeta,Arequipa,12261.19,0.86
EVT-000174,VEN-0026326,Tecnologia,plin,Lima,9581.93,0.86
EVT-000304,VEN-0040541,Deportes,tarjeta,Trujillo,4994.89,0.86
EVT-000310,VEN-0021043,Electronica,plin,Trujillo,18615.22,0.86
EVT-000395,VEN-0045609,Hogar,tarjeta,Lima,9302.91,0.86
EVT-000504,VEN-0014893,Ropa,yape,Arequipa,4374.05,0.86
EVT-000522,VEN-0033987,Ropa,yape,Cusco,8970.45,0.86
EVT-000078,VEN-0022442,Tecnologia,yape,Cusco,12178.05,0.85
EVT-000134,VEN-0027314,Hogar,plin,Cusco,5151.2,0.85
EVT-000147,VEN-0029195,Deportes,tarjeta,Lima,15613.91,0.85
EVT-000158,VEN-0042818,Tecnologia,plin,Lima,15446.96,0.85
EVT-000173,VEN-0016486,Ropa,tarjeta,Lima,6310.25,0.85
EVT-000288,VEN-0046056,Hogar,efectivo,Arequipa,4891.91,0.85
EVT-000382,VEN-0041762,Electronica,yape,Trujillo,6504.94,0.85
EVT-000384,VEN-0005023,Ropa,efectivo,Trujillo,3002.93,0.85
EVT-000406,VEN-0004525,Tecnologia,plin,Lima,18937.23,0.85
EVT-000577,VEN-0043485,Ropa,yape,Arequipa,5782.25,0.85
EVT-000590,VEN-0001315,Hogar,plin,Piura,5441.15,0.85
EVT-000072,VEN-0009526,Tecnologia,efectivo,Trujillo,13475.14,0.84
EVT-000183,VEN-0026116,Tecnologia,plin,Lima,9681.27,0.84
EVT-000188,VEN-0004550,Hogar,efectivo,Lima,9994.72,0.84
EVT-000199,VEN-0027950,Deportes,efectivo,Arequipa,16129.5,0.84
EVT-000292,VEN-0020387,Tecnologia,plin,Cusco,5789.03,0.84
EVT-000386,VEN-0022294,Tecnologia,yape,Piura,9560.11,0.84
EVT-000487,VEN-0010867,Hogar,yape,Lima,4455.73,0.84
EVT-000550,VEN-0016300,Electronica,yape,Lima,5183.78,0.84
EVT-000557,VEN-0007943,Deportes,plin,Cusco,16310.11,0.84
EVT-000562,VEN-0036465,Hogar,plin,Piura,15485.11,0.84
EVT-000031,VEN-0038129,Deportes,plin,Lima,10698.62,0.83
EVT-000051,VEN-0039380,Deportes,plin,Lima,14792.03,0.83
EVT-000121,VEN-0004457,Tecnologia,yape,Piura,9570.69,0.83
EVT-000155,VEN-0028160,Electronica,tarjeta,Trujillo,3539.76,0.83
EVT-000156,VEN-0010284,Tecnologia,tarjeta,Arequipa,6342.33,0.83
EVT-000211,VEN-0046103,Electronica,plin,Lima,4416.84,0.83
EVT-000220,VEN-0006312,Tecnologia,efectivo,Arequipa,21492.96,0.83
EVT-000268,VEN-0042701,Deportes,efectivo,Lima,8045.96,0.83
EVT-000337,VEN-0020915,Tecnologia,yape,Cusco,21836.23,0.83
EVT-000445,VEN-0042571,Ropa,tarjeta,Lima,3620.11,0.83
EVT-000495,VEN-0037595,Deportes,tarjeta,Arequipa,9746.3,0.83
EVT-000524,VEN-0010119,Tecnologia,tarjeta,Piura,12381.82,0.83
EVT-000535,VEN-0041003,Hogar,efectivo,Trujillo,8913.76,0.83
EVT-000538,VEN-0040360,Tecnologia,plin,Arequipa,7005.53,0.83
EVT-000543,VEN-0046810,Electronica,efectivo,Cusco,5639.98,0.83
EVT-000551,VEN-0001038,Electronica,plin,Trujillo,3695.8,0.83
EVT-000026,VEN-0000648,Tecnologia,tarjeta,Arequipa,3939.05,0.82
EVT-000027,VEN-0025609,Electronica,yape,Trujillo,7683.62,0.82
EVT-000059,VEN-0000738,Deportes,tarjeta,Arequipa,4279.61,0.82
EVT-000103,VEN-0014415,Tecnologia,tarjeta,Lima,8745.41,0.82
EVT-000117,VEN-0014689,Hogar,tarjeta,Piura,8151.44,0.82
EVT-000180,VEN-0044458,Electronica,tarjeta,Arequipa,8616.02,0.82
EVT-000197,VEN-0029718,Ropa,tarjeta,Lima,10350.41,0.82
EVT-000206,VEN-0030307,Hogar,plin,Arequipa,12015.97,0.82
EVT-000217,VEN-0027419,Tecnologia,tarjeta,Piura,3146.32,0.82
EVT-000252,VEN-0023408,Deportes,yape,Piura,15569.52,0.82
EVT-000258,VEN-0027147,Deportes,efectivo,Trujillo,6727.17,0.82
EVT-000408,VEN-0012624,Deportes,yape,Piura,10977.99,0.82
EVT-000447,VEN-0001010,Ropa,efectivo,Trujillo,6724.75,0.82
EVT-000464,VEN-0043666,Deportes,plin,Cusco,19221.6,0.82
EVT-000476,VEN-0013596,Electronica,plin,Piura,14379.81,0.82
EVT-000011,VEN-0039839,Tecnologia,plin,Piura,7411.91,0.81
EVT-000061,VEN-0034535,Tecnologia,plin,Arequipa,8902.25,0.81
EVT-000145,VEN-0002195,Hogar,plin,Trujillo,4571.3,0.81
EVT-000242,VEN-0013616,Tecnologia,tarjeta,Trujillo,3854.14,0.81
EVT-000245,VEN-0006889,Deportes,tarjeta,Lima,5884.26,0.81
EVT-000254,VEN-0004741,Ropa,tarjeta,Piura,6136.1,0.81
EVT-000363,VEN-0034811,Tecnologia,efectivo,Trujillo,4564.29,0.81
EVT-000461,VEN-0018977,Deportes,yape,Piura,3375.68,0.81
EVT-000472,VEN-0038026,Deportes,plin,Piura,9911.25,0.81
EVT-000475,VEN-0004781,Deportes,efectivo,Arequipa,4544.22,0.81
EVT-000527,VEN-0020120,Deportes,efectivo,Cusco,19629.71,0.81
EVT-000017,VEN-0042838,Electronica,plin,Lima,6758.16,0.8
EVT-000054,VEN-0037705,Tecnologia,plin,Cusco,3158.59,0.8
EVT-000171,VEN-0002460,Hogar,yape,Piura,8791.38,0.8
EVT-000208,VEN-0043800,Hogar,tarjeta,Piura,5572.15,0.8
EVT-000210,VEN-0013167,Ropa,tarjeta,Arequipa,3922.01,0.8
EVT-000335,VEN-0038209,Electronica,plin,Cusco,3165.1,0.8
EVT-000362,VEN-0024911,Tecnologia,yape,Trujillo,8179.81,0.8
EVT-000377,VEN-0018381,Hogar,plin,Trujillo,6386.25,0.8
EVT-000398,VEN-0021322,Hogar,plin,Trujillo,4461.28,0.8
EVT-000428,VEN-0043577,Tecnologia,tarjeta,Arequipa,14326.01,0.8
EVT-000431,VEN-0048266,Deportes,plin,Cusco,7412.44,0.8
EVT-000471,VEN-0026807,Ropa,yape,Trujillo,7833.85,0.8
EVT-000591,VEN-0035691,Deportes,tarjeta,Piura,9167.49,0.8
EVT-000106,VEN-0032885,Tecnologia,efectivo,Piura,10440.49,0.79
EVT-000296,VEN-0026696,Ropa,efectivo,Cusco,3670.52,0.79
EVT-000324,VEN-0017344,Tecnologia,yape,Piura,11900.61,0.79
EVT-000397,VEN-0047509,Tecnologia,efectivo,Piura,4095.23,0.79
EVT-000451,VEN-0012853,Ropa,plin,Cusco,8589.64,0.79
EVT-000462,VEN-0009186,Hogar,tarjeta,Cusco,8044.27,0.79
EVT-000513,VEN-0032665,Electronica,plin,Trujillo,10842.07,0.79
EVT-000525,VEN-0040745,Tecnologia,efectivo,Arequipa,10462.54,0.79
EVT-000092,VEN-0019010,Hogar,plin,Piura,8170.76,0.78
EVT-000094,VEN-0018554,Electronica,yape,Cusco,12716.9,0.78
EVT-000127,VEN-0016562,Tecnologia,tarjeta,Piura,8154.03,0.78
EVT-000131,VEN-0034966,Electronica,yape,Piura,10279.33,0.78
EVT-000172,VEN-0018240,Deportes,tarjeta,Cusco,18428.73,0.78
EVT-000179,VEN-0008717,Electronica,plin,Cusco,8978.64,0.78
EVT-000187,VEN-0040716,Tecnologia,plin,Cusco,20135.58,0.78
EVT-000207,VEN-0034206,Hogar,plin,Lima,12634.56,0.78
EVT-000222,VEN-0025763,Electronica,yape,Piura,9621.01,0.78
EVT-000232,VEN-0024490,Ropa,yape,Lima,3546.57,0.78
EVT-000320,VEN-0040154,Tecnologia,plin,Cusco,6325.53,0.78
EVT-000345,VEN-0024229,Ropa,efectivo,Trujillo,5992.82,0.78
EVT-000415,VEN-0006469,Electronica,plin,Trujillo,18760.02,0.78
EVT-000470,VEN-0005043,Hogar,efectivo,Cusco,16463.92,0.78
EVT-000509,VEN-0013761,Hogar,yape,Cusco,3521.23,0.78
EVT-000564,VEN-0016748,Electronica,tarjeta,Cusco,5041.82,0.78
EVT-000570,VEN-0018865,Hogar,efectivo,Cusco,4148.83,0.78
EVT-000579,VEN-0012653,Tecnologia,plin,Cusco,3781.49,0.78
EVT-000040,VEN-0009102,Hogar,tarjeta,Piura,8030.55,0.77
EVT-000067,VEN-0014055,Deportes,efectivo,Piura,3134.45,0.77
EVT-000083,VEN-0034579,Ropa,plin,Arequipa,3509.69,0.77
EVT-000144,VEN-0026383,Tecnologia,plin,Cusco,9543.82,0.77
EVT-000185,VEN-0018298,Tecnologia,efectivo,Lima,16450.22,0.77
EVT-000394,VEN-0011646,Ropa,tarjeta,Cusco,19429.7,0.77
EVT-000417,VEN-0004731,Deportes,tarjeta,Piura,16734.11,0.77
EVT-000469,VEN-0007559,Deportes,efectivo,Piura,9119.26,0.77
EVT-000479,VEN-0008486,Tecnologia,efectivo,Piura,8539.85,0.77
EVT-000534,VEN-0036349,Tecnologia,yape,Trujillo,21003.01,0.77
EVT-000548,VEN-0048519,Electronica,tarjeta,Piura,10782.44,0.77
EVT-000006,VEN-0022967,Deportes,yape,Piura,4615.74,0.76
EVT-000168,VEN-0016822,Tecnologia,efectivo,Lima,8460.67,0.76
EVT-000279,VEN-0014254,Hogar,yape,Lima,6710.78,0.76
EVT-000283,VEN-0000666,Tecnologia,tarjeta,Cusco,6100.41,0.76
EVT-000285,VEN-0035162,Deportes,tarjeta,Cusco,6720.89,0.76
EVT-000294,VEN-0031414,Hogar,yape,Arequipa,3610.11,0.76
EVT-000312,VEN-0043746,Tecnologia,plin,Lima,9883.96,0.76
EVT-000432,VEN-0004668,Deportes,efectivo,Lima,3533.76,0.76
EVT-000488,VEN-0014176,Ropa,plin,Arequipa,7882.38,0.76
EVT-000497,VEN-0014862,Hogar,efectivo,Arequipa,4613.58,0.76
EVT-000544,VEN-0026181,Hogar,tarjeta,Arequipa,9446.16,0.76
EVT-000585,VEN-0006238,Ropa,yape,Arequipa,11687.14,0.76
EVT-000024,VEN-0041036,Hogar,yape,Piura,20542.31,0.75
EVT-000050,VEN-0046906,Tecnologia,tarjeta,Trujillo,6797.67,0.75
EVT-000137,VEN-0027256,Deportes,plin,Trujillo,3411.55,0.75
EVT-000161,VEN-0044715,Hogar,plin,Arequipa,9284.74,0.75
EVT-000164,VEN-0041615,Electronica,efectivo,Piura,10049.83,0.75
EVT-000196,VEN-0022708,Ropa,yape,Cusco,7676.63,0.75
EVT-000221,VEN-0010143,Hogar,efectivo,Lima,19456.24,0.75
EVT-000289,VEN-0042603,Electronica,tarjeta,Trujillo,5671.5,0.75
EVT-000358,VEN-0010528,Tecnologia,yape,Trujillo,10527.36,0.75
EVT-000401,VEN-0036435,Hogar,plin,Piura,4362.4,0.75
EVT-000407,VEN-0037289,Deportes,tarjeta,Trujillo,3626.38,0.75
EVT-000429,VEN-0036304,Electronica,tarjeta,Lima,3016.25,0.75
EVT-000450,VEN-0014832,Deportes,tarjeta,Trujillo,3705.64,0.75
EVT-000459,VEN-0033520,Ropa,efectivo,Cusco,8281.42,0.75
EVT-000489,VEN-0047937,Ropa,tarjeta,Cusco,9206.77,0.75
EVT-000508,VEN-0016113,Electronica,plin,Piura,11482.26,0.75
EVT-000511,VEN-0032844,Deportes,tarjeta,Cusco,3893.29,0.75
EVT-000547,VEN-0037640,Electronica,yape,Cusco,17770.23,0.75
EVT-000003,VEN-0043120,Deportes,yape,Trujillo,15985.56,0.74
EVT-000063,VEN-0008314,Ropa,plin,Cusco,18718.88,0.74
