evento_id,venta_id,producto_id,cliente_id,categoria,metodo_pago,ciudad,cantidad,total,riesgo_fraude,timestamp_evento
EVT-000001,VEN-0044740,PROD-00013,CLI-000919,Tecnologia,tarjeta,Trujillo,4,11778.47,0.61,2026-05-13 16:33:06
EVT-000002,VEN-0024972,PROD-00379,CLI-001426,Electronica,tarjeta,Arequipa,1,1006.15,0.39,2026-05-13 16:33:06
EVT-000003,VEN-0043120,PROD-00010,CLI-004178,Deportes,yape,Trujillo,5,15985.56,0.74,2026-05-13 16:33:06
EVT-000004,VEN-0013669,PROD-00067,CLI-008838,Ropa,tarjeta,Piura,4,17252.09,0.6,2026-05-13 16:33:06
EVT-000005,VEN-0007563,PROD-00221,CLI-005274,Tecnologia,tarjeta,Lima,2,7450.08,0.91,2026-05-13 16:33:07
EVT-000006,VEN-0022967,PROD-00472,CLI-006663,Deportes,yape,Piura,4,4615.74,0.76,2026-05-13 16:33:07
EVT-000007,VEN-0026577,PROD-00345,CLI-000443,Deportes,yape,Cusco,4,15958.74,0.95,2026-05-13 16:33:07
EVT-000008,VEN-0025757,PROD-00371,CLI-006462,Electronica,plin,Trujillo,5,5875.42,0.63,2026-05-13 16:33:07
EVT-000009,VEN-0049968,PROD-00016,CLI-002405,Tecnologia,efectivo,Piura,1,1513.47,0.36,2026-05-13 16:33:07
EVT-000010,VEN-0006883,PROD-00059,CLI-003858,Tecnologia,efectivo,Arequipa,5,3080.5,0.7,2026-05-13 16:33:07
EVT-000011,VEN-0039839,PROD-00402,CLI-003328,Tecnologia,plin,Piura,3,7411.91,0.81,2026-05-13 16:33:07
EVT-000012,VEN-0025404,PROD-00035,CLI-000573,Ropa,tarjeta,Trujillo,1,61.28,0.23,2026-05-13 16:33:07
EVT-000013,VEN-0030605,PROD-00351,CLI-008042,Tecnologia,efectivo,Trujillo,1,864.73,0.32,2026-05-13 16:33:07
EVT-000014,VEN-0012743,PROD-00237,CLI-002178,Tecnologia,tarjeta,Arequipa,1,3838.6,0.86,2026-05-13 16:33:08
EVT-000015,VEN-0035273,PROD-00383,CLI-006308,Ropa,tarjeta,Cusco,2,2369.88,0.45,2026-05-13 16:33:08
EVT-000016,VEN-0028236,PROD-00184,CLI-004521,Deportes,yape,Cusco,3,12161.42,0.88,2026-05-13 16:33:08
EVT-000017,VEN-0042838,PROD-00475,CLI-002466,Electronica,plin,Lima,2,6758.16,0.8,2026-05-13 16:33:08
EVT-000018,VEN-0025579,PROD-00496,CLI-007274,Hogar,plin,Cusco,5,7068.11,0.64,2026-05-13 16:33:08
EVT-000019,VEN-0016179,PROD-00381,CLI-006034,Deportes,tarjeta,Trujillo,5,20902.75,0.91,2026-05-13 16:33:08
EVT-000020,VEN-0048749,PROD-00420,CLI-005342,Tecnologia,efectivo,Trujillo,4,18316.09,0.64,2026-05-13 16:33:08
EVT-000021,VEN-0020258,PROD-00264,CLI-009520,Hogar,tarjeta,Trujillo,5,14637.58,0.86,2026-05-13 16:33:08
EVT-000022,VEN-0048735,PROD-00119,CLI-005629,Tecnologia,yape,Trujillo,4,12122.66,0.93,2026-05-13 16:33:08
EVT-000023,VEN-0021875,PROD-00066,CLI-000430,Electronica,tarjeta,Piura,4,15350.57,0.72,2026-05-13 16:33:08
EVT-000024,VEN-0041036,PROD-00426,CLI-009728,Hogar,yape,Piura,5,20542.31,0.75,2026-05-13 16:33:09
EVT-000025,VEN-0003300,PROD-00181,CLI-007458,Deportes,plin,Trujillo,5,2660.36,0.26,2026-05-13 16:33:09
